timestamp,source_ip,source_port,destination_ip,destination_port,dscp,tos
977979600.946,176.97.154.167,6346,83.73.73.180,1136,0,0
977979600.946,207.62.157.58,53,195.9.81.235,1033,0,0
977979600.947,202.172.237.51,3128,144.222.106.209,3966,0,0
977979600.948,202.172.237.51,3128,144.222.106.209,3966,0,0
977979600.948,209.147.47.229,80,207.38.175.176,16117,0,0
977979600.949,180.195.87.195,6699,202.27.16.40,17870,0,0
977979600.951,207.62.157.58,53,9.187.194.119,53,0,0
977979600.951,203.92.111.225,53,206.133.250.176,53,0,0
977979600.952,200.122.79.213,80,149.75.11.246,1093,0,0
977979600.952,200.122.79.213,80,149.75.11.246,1093,0,0
977979600.952,200.122.79.213,80,149.75.11.246,1093,0,0
977979600.953,200.122.79.213,80,149.75.11.246,1093,0,0
977979600.953,200.122.79.213,80,149.75.11.246,1093,0,0
977979600.953,46.138.138.16,25,144.222.106.192,4829,0,0
977979600.954,106.183.58.215,1039,176.97.154.167,6346,0,0
977979600.955,207.62.157.58,53,9.187.194.119,53,0,0
977979600.957,176.97.154.167,6346,106.183.58.215,1039,0,0
977979600.96,206.133.254.248,6699,107.43.45.60,2434,0,0
977979600.961,206.133.254.248,6699,107.43.45.60,2434,0,0
977979600.961,207.62.157.58,53,9.187.194.119,53,0,0
977979600.962,200.157.16.157,80,149.75.65.77,1044,0,0
977979600.965,200.122.17.53,80,149.75.42.223,1051,0,0
977979600.965,207.62.157.58,53,9.187.194.119,53,0,0
977979600.966,149.75.11.246,1093,200.122.79.213,80,0,0
977979600.966,207.62.157.58,53,170.25.188.114,1024,0,0
977979600.967,207.62.157.58,53,9.187.194.119,53,0,0
977979600.967,212.66.228.62,80,170.117.142.248,4043,0,0
977979600.967,212.66.228.62,80,170.117.142.248,4043,0,0
977979600.967,107.139.217.67,1202,170.117.110.161,80,0,0
977979600.967,180.195.190.187,1495,107.49.122.150,80,0,0
977979600.967,149.75.11.246,1093,200.122.79.213,80,0,0
977979600.97,208.28.2.46,80,180.195.89.92,41223,0,0
977979600.97,202.76.120.33,6346,176.97.154.167,4178,0,0
977979600.97,182.237.44.74,25,144.222.106.192,1687,0,0
977979600.971,207.62.157.58,53,9.187.194.119,53,0,0
977979600.972,206.133.253.49,1024,195.1.12.28,53,0,0
977979600.972,207.62.157.58,53,9.187.194.119,53,0,0
